Disease,Symptoms,Severity
Common Cold,"cough,sneezing,headache,runny nose,sore throat,fatigue",Low
Common Cold,"fatigue,nasal congestion,mild fever,cough,runny nose,sore throat,headache,sneezing",Low
Common Cold,"cough,mild fever,runny nose,headache,sore throat,fatigue,sneezing",Low
Common Cold,"cough,runny nose,nasal congestion,sneezing,headache,mild fever,fatigue,sore throat",Low
Common Cold,"sneezing,cough,headache,sore throat,runny nose",Low
Common Cold,"sore throat,sneezing,runny nose,cough,headache",Low
Common Cold,"fatigue,mild fever,headache,runny nose,sore throat,nasal congestion,cough,sneezing",Low
Common Cold,"sore throat,mild fever,sneezing,runny nose",Low
Common Cold,"runny nose,mild fever,sneezing,nasal congestion,sore throat",Low
Common Cold,"sore throat,runny nose,cough,sneezing",Low
Common Cold,"fatigue,nasal congestion,cough,runny nose,sneezing,headache,sore throat",Low
Common Cold,"fatigue,nasal congestion,sore throat,cough,sneezing,headache,mild fever,runny nose",Low
Common Cold,"sore throat,cough,runny nose,headache,sneezing",Low
Common Cold,"sore throat,cough,sneezing,runny nose,mild fever,fatigue",Low
Common Cold,"cough,headache,mild fever,runny nose,sore throat,sneezing",Low
Common Cold,"sneezing,fatigue,headache,sore throat,runny nose,mild fever,cough",Low
Common Cold,"runny nose,sneezing,sore throat,headache",Low
Common Cold,"nasal congestion,mild fever,headache,fatigue,cough,sore throat,sneezing,runny nose",Low
Common Cold,"headache,sneezing,runny nose,sore throat,cough,mild fever",Low
Common Cold,"runny nose,fatigue,mild fever,cough,sore throat,sneezing",Low
Common Cold,"sneezing,sore throat,headache,fatigue,runny nose,nasal congestion,mild fever,cough",Low
Common Cold,"sore throat,sneezing,runny nose,nasal congestion",Low
Common Cold,"sneezing,fatigue,mild fever,cough,runny nose,sore throat",Low
Common Cold,"nasal congestion,cough,fatigue,headache,runny nose,sneezing,sore throat",Low
Common Cold,"sore throat,nasal congestion,sneezing,runny nose,mild fever,headache",Low
Common Cold,"sneezing,fatigue,headache,cough,sore throat,nasal congestion,runny nose",Low
Common Cold,"sore throat,fatigue,sneezing,runny nose",Low
Common Cold,"sneezing,mild fever,runny nose,nasal congestion,sore throat,cough,fatigue,headache",Low
Common Cold,"runny nose,sore throat,mild fever,headache,nasal congestion,sneezing,cough",Low
Common Cold,"cough,mild fever,sneezing,runny nose,sore throat,headache",Low
Common Cold,"sore throat,fatigue,headache,sneezing,runny nose",Low
Common Cold,"sore throat,runny nose,cough,sneezing",Low
Common Cold,"runny nose,sore throat,sneezing,fatigue",Low
Common Cold,"nasal congestion,headache,runny nose,sneezing,sore throat,cough,mild fever,fatigue",Low
Common Cold,"sneezing,cough,sore throat,runny nose",Low
Common Cold,"sneezing,sore throat,runny nose,nasal congestion",Low
Common Cold,"runny nose,sore throat,sneezing,nasal congestion,headache,mild fever,cough,fatigue",Low
Common Cold,"sneezing,runny nose,mild fever,sore throat",Low
Common Cold,"runny nose,mild fever,fatigue,sore throat,sneezing",Low
Common Cold,"headache,mild fever,sore throat,nasal congestion,cough,fatigue,sneezing,runny nose",Low
Common Cold,"runny nose,sore throat,nasal congestion,sneezing",Low
Common Cold,"runny nose,sneezing,cough,sore throat",Low
Common Cold,"headache,cough,sneezing,mild fever,sore throat,runny nose,nasal congestion",Low
Common Cold,"sneezing,headache,cough,runny nose,nasal congestion,sore throat,mild fever",Low
Common Cold,"sneezing,nasal congestion,fatigue,mild fever,runny nose,sore throat,cough",Low
